donor,proportion,passage,harvestday,well,um_pb2
WA13,0.02521,1,9,3,10
WA15,0.01371,1,9,3,10
WA17,0.04583,1,9,3,10
WA22,0.01188,1,9,3,10
WA24,0.0046,1,9,3,10
CHB4,0.00396,1,9,3,3
CHB11,0.01469,1,9,3,3
CSES15,0.04998,1,9,3,3
CSES25,0.01021,1,9,3,3
CT2,0.02966,1,9,3,3
CT4,0.03053,1,9,3,3
ESI017,0.01537,1,9,3,3
ESI049,0.14304,1,9,3,3
ESI051,0.02244,1,9,3,3
Genea15,0.00563,1,9,3,3
Genea16,0.0071,1,9,3,3
Genea42,0.00788,1,9,3,3
Genea47,0.00452,1,9,3,3
Genea52,0.01103,1,9,3,3
HS401,0.20159,1,9,3,3
HS420,0.01154,1,9,3,3
HUES42,0.01715,1,9,3,3
HUES44,0.02399,1,9,3,3
HUES45,0.00641,1,9,3,3
HUES49,0.01816,1,9,3,3
HUES63,0.06357,1,9,3,3
HUES64,0.01246,1,9,3,3
HUES75,0.01179,1,9,3,3
Mel2,0.0044,1,9,3,3
RUES1,0.0056,1,9,3,3
UCLA10,0.01456,1,9,3,3
UCLA13,0.01628,1,9,3,3
UCLA2,0.00413,1,9,3,3
UCSF4,0.05004,1,9,3,3
UM14-1,0.01544,1,9,3,3
UM77-2,0.00574,1,9,3,3
WA7,0.00411,1,9,3,3
WA09,0.03195,1,9,3,3
WA13,0.02617,1,9,3,3
WA15,0.0196,1,9,3,3
WA17,0.05761,1,9,3,3
WA22,0.0175,1,9,3,3
WA24,0.00417,1,9,3,3
